accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.4953886568546295,0.4846244156360626,0.6950491070747375,0.39182281494140625,0.5,0.6935003399848938,0.0010000000474974513
0.4835309684276581,0.4876643717288971,0.6944352984428406,0.39182281494140625,0.6231762170791626,0.7025203704833984,0.0010000000474974513
0.452788770198822,0.4906631410121918,0.6955135464668274,0.39182281494140625,0.5101571083068848,0.6943193078041077,0.0010000000474974513
0.5208607912063599,0.5347633361816406,0.6933841109275818,0.6354343891143799,0.6051881313323975,0.6912381649017334,0.0010000000474974513
0.5480895638465881,0.5631762742996216,0.6908763647079468,0.6269165277481079,0.620478630065918,0.6869372725486755,0.0010000000474974513
0.5687307715415955,0.5761958360671997,0.6879903674125671,0.640545129776001,0.6435148119926453,0.6804632544517517,0.0010000000474974513
0.5788317918777466,0.5862947702407837,0.684748113155365,0.640545129776001,0.6536110043525696,0.6724125146865845,0.0010000000474974513
0.5867369174957275,0.5844546556472778,0.6852073669433594,0.632027268409729,0.6550542116165161,0.6731512546539307,0.0010000000474974513
0.5854194164276123,0.6004233360290527,0.6817368268966675,0.6183986663818359,0.6643953323364258,0.6737740635871887,0.0010000000474974513
0.5889328122138977,0.5991958379745483,0.6807382106781006,0.6303237080574036,0.6704055666923523,0.6623146533966064,0.0010000000474974513
0.6064997911453247,0.6178449392318726,0.6751000285148621,0.6166950464248657,0.6721287965774536,0.6746683120727539,0.0010000000474974513
0.5889328122138977,0.6070255041122437,0.6804651618003845,0.599659264087677,0.6677932143211365,0.6737396121025085,0.0010000000474974513
0.5871760845184326,0.5998198986053467,0.6829846501350403,0.6013628840446472,0.6606686115264893,0.6701340079307556,0.0010000000474974513
0.5972771048545837,0.6258736848831177,0.6726205945014954,0.5928449630737305,0.6700767278671265,0.6667072772979736,0.0005000000237487257
0.6047430634498596,0.6269137263298035,0.6723847389221191,0.6047700047492981,0.666143000125885,0.6493151187896729,0.0005000000237487257
0.609574019908905,0.6383445262908936,0.6659220457077026,0.5741056203842163,0.668408215045929,0.6782451868057251,0.0005000000237487257
